permutation_index,top1,mrr
274,0.2666666666666666,0.4278331526860938
275,0.3,0.4441687615217027
276,0.3666666666666666,0.4781597997232672
277,0.2333333333333333,0.3992973658608333
278,0.3333333333333333,0.4371118641706877
279,0.2666666666666666,0.3931392354921766
280,0.2666666666666666,0.390869620575503
281,0.4,0.4993807118807119
282,0.2,0.3443442015500839
283,0.2666666666666666,0.419027388733271
284,0.2666666666666666,0.390250933706816
285,0.3,0.416945706798648
286,0.3333333333333333,0.4501170126170126
287,0.1666666666666666,0.3244904462009725
288,0.3333333333333333,0.4199777945366181
289,0.1666666666666666,0.3211970709029533
290,0.2666666666666666,0.3738476304110979
291,0.3666666666666666,0.4651147735706559
292,0.1333333333333333,0.2822418594477417
293,0.3333333333333333,0.4545344435979111
294,0.2333333333333333,0.3484893755481991
295,0.3333333333333333,0.4314454662984076
296,0.2333333333333333,0.3502167685255921
297,0.2333333333333333,0.3896232008732008
298,0.3,0.4331932228991053
299,0.2333333333333333,0.40248852998853
300,0.2666666666666666,0.404744802411211
301,0.2333333333333333,0.3774692110721522
302,0.3,0.4506838069338069
303,0.3333333333333333,0.4624964985994398
304,0.2666666666666666,0.3896652884152884
305,0.2666666666666666,0.4102893402893403
306,0.2333333333333333,0.342170185479009
307,0.3,0.4355293453822865
308,0.2666666666666666,0.3901234223293047
309,0.3,0.4235647957706782
310,0.3333333333333333,0.4462125184184007
311,0.1333333333333333,0.2866215538274362
312,0.3666666666666666,0.4812916984975809
313,0.3333333333333333,0.4470246229805053
314,0.3666666666666666,0.4814544680179355
315,0.3666666666666666,0.4766788766788767
316,0.3,0.4424555040189715
317,0.3666666666666666,0.4700592292697556
318,0.2,0.350249023851965
319,0.4,0.4976251029385705
320,0.3,0.4147008050142725
321,0.1666666666666666,0.3262470535999948
322,0.2,0.3650694947753771
323,0.3,0.4193496128054951
324,0.2333333333333333,0.3568063690122514
325,0.3,0.4528727753727753
326,0.1666666666666666,0.3031072596707271
327,0.3,0.442016991722874
328,0.1666666666666666,0.2970721816310052
329,0.3666666666666666,0.4725212287712288
330,0.2666666666666666,0.4271738120267532
331,0.1666666666666666,0.3098503484532896
332,0.3,0.4215509164038576
333,0.3333333333333333,0.4515058226087637
334,0.2333333333333333,0.3801723875253286
335,0.2333333333333333,0.3870304042362866
336,0.3,0.4444193769193769
337,0.2666666666666666,0.3949238071296895
338,0.1,0.2655292855292855
339,0.3333333333333333,0.4499363272892684
340,0.3,0.4124176286676287
341,0.3,0.4172523446052859
342,0.2666666666666666,0.3786544610074022
343,0.3666666666666666,0.4889606227106227
344,0.3,0.4273416996946408
345,0.3,0.4266567365096776
346,0.2666666666666666,0.4374351247880659
347,0.1666666666666666,0.2981170048275311
348,0.3,0.4265224419829682
349,0.2666666666666666,0.4128922275981099
350,0.4,0.5439959114959115
351,0.3333333333333333,0.4626000198059021
352,0.3333333333333333,0.4606804442833854
353,0.3,0.4412609286138698
354,0.2333333333333333,0.3792340665870078
355,0.4,0.526645807895808
356,0.1666666666666666,0.3084704783234195
357,0.3666666666666666,0.4740550462609286
358,0.2666666666666666,0.3996344994874407
359,0.2333333333333333,0.3743965722100397
360,0.2666666666666666,0.4231218781218781
361,0.3,0.4147253944312768
362,0.4,0.5099451147980559
363,0.3666666666666666,0.4886418809948222
364,0.2333333333333333,0.3643258266787679
365,0.3666666666666666,0.4951599925129337
366,0.2333333333333333,0.3634646970676382
367,0.3,0.4376023187052599
368,0.1666666666666666,0.3101322118427381
369,0.3333333333333333,0.4535073858603271
370,0.3,0.4162233409292233
371,0.2666666666666666,0.4129257452786864
372,0.2333333333333333,0.3966435089964502
373,0.3333333333333333,0.4438504687034099
374,0.2666666666666666,0.4076965626965627
375,0.2333333333333333,0.3410676326311001
376,0.2666666666666666,0.3784794800429475
377,0.3,0.4160119802225065
378,0.2666666666666666,0.4075485761515173
379,0.2666666666666666,0.4382158582158581
380,0.2666666666666666,0.4106723641282465
381,0.3333333333333333,0.4449669720257955
382,0.3333333333333333,0.4665418786007022
383,0.2,0.3378137242301329
384,0.2666666666666666,0.3837775323804736
385,0.3,0.4595788144317556
386,0.3666666666666666,0.4586056345615169
387,0.3,0.4093443266972679
388,0.3333333333333333,0.4467193420328095
389,0.2333333333333333,0.3820386693916105
390,0.4333333333333333,0.4996242782272194
