permutation_index,random_label_top1,random_label_mrr,matched_task_side_top1,matched_task_side_mrr
2774,0.0,0.1655354746263837,0.0303030303030303,0.3315175565175565
2775,0.0,0.1567222339949612,0.0303030303030303,0.3184715116533298
2776,0.0606060606060606,0.2036106990652445,0.0303030303030303,0.3112554112554113
2777,0.0303030303030303,0.2132857041947951,0.0606060606060606,0.2952621452621452
2778,0.0303030303030303,0.18145263827082,0.0303030303030303,0.3075888757706939
2779,0.0303030303030303,0.1826777599504872,0.0606060606060606,0.3416065416065416
2780,0.0606060606060606,0.2048842571569844,0.0,0.3034894398530762
2781,0.0303030303030303,0.19047644274917,0.0303030303030303,0.2943963443963444
2782,0.0303030303030303,0.1947140401685856,0.0303030303030303,0.3090198522016704
2783,0.0,0.1582603423512514,0.0606060606060606,0.3375781625781626
2784,0.0606060606060606,0.2173571378116832,0.0,0.2456371070007433
2785,0.0303030303030303,0.1892987483896574,0.0303030303030303,0.3351370851370851
2786,0.0909090909090909,0.222858706949616,0.0606060606060606,0.3265643447461629
2787,0.0303030303030303,0.1909232181959454,0.0303030303030303,0.3000010931829113
2788,0.0606060606060606,0.221446398719126,0.0606060606060606,0.3185064935064934
2789,0.0,0.1931759318122954,0.0303030303030303,0.3811327561327561
2790,0.0606060606060606,0.2041646064373337,0.0,0.2972353404171586
2791,0.0303030303030303,0.2005199346108437,0.0303030303030303,0.3225960907779089
2792,0.0,0.1634693589239043,0.0303030303030303,0.321019721019721
2793,0.0303030303030303,0.224276565185656,0.0303030303030303,0.2954785954785954
2794,0.0606060606060606,0.2077611782157236,0.0303030303030303,0.3226310726310726
2795,0.0303030303030303,0.2081178922088012,0.0303030303030303,0.3186026936026936
2796,0.0303030303030303,0.2150333673060945,0.0303030303030303,0.2765993265993266
2797,0.0303030303030303,0.1899160603706058,0.0303030303030303,0.3062650312650312
2798,0.0,0.1573993346720619,0.0909090909090909,0.3638528138528138
2799,0.0,0.174450801723529,0.0303030303030303,0.296019721019721
2800,0.0909090909090909,0.2323144027689481,0.0303030303030303,0.3107044470680835
2801,0.0606060606060606,0.2216286239013511,0.0909090909090909,0.3492183742183742
2802,0.0303030303030303,0.1879166288257197,0.0,0.2828523328523328
2803,0.0303030303030303,0.1905584314675223,0.0303030303030303,0.3143338143338143
2804,0.0,0.1636865659592932,0.0,0.2620501552319734
2805,0.0,0.1641635300726209,0.0,0.2737133237133237
2806,0.0303030303030303,0.1966959807868898,0.0606060606060606,0.3376503126503126
2807,0.0303030303030303,0.1992765651856561,0.0303030303030303,0.2893589575407757
2808,0.0303030303030303,0.1836721359448632,0.0606060606060606,0.3908128908128908
2809,0.0,0.1664053118598573,0.0303030303030303,0.3013839695657877
2810,0.0303030303030303,0.1845590436499527,0.0303030303030303,0.3290786654423018
2811,0.0303030303030303,0.1841633114360386,0.0303030303030303,0.2876984126984126
2812,0.0,0.162148457603003,0.0303030303030303,0.2955398137216319
2813,0.1212121212121212,0.2631232403959676,0.0,0.3014189514189514
2814,0.0303030303030303,0.1869808642535915,0.0303030303030303,0.2672438672438672
2815,0.0303030303030303,0.184154229608775,0.0303030303030303,0.3308572740390922
2816,0.0303030303030303,0.2074091733182642,0.0909090909090909,0.3285364467182648
2817,0.0606060606060606,0.2395801168528441,0.0606060606060606,0.3190727622545805
2818,0.0303030303030303,0.215796829433193,0.0303030303030303,0.2806156806156806
2819,0.0303030303030303,0.1754379458924913,0.0,0.3008177008177007
2820,0.0,0.1643621529985166,0.0,0.2947811447811447
2821,0.0,0.1735711258438531,0.0909090909090909,0.3828895010713192
2822,0.0303030303030303,0.1932320205047477,0.0303030303030303,0.3014069264069264
2823,0.0,0.1595641732005368,0.0303030303030303,0.320021645021645
2824,0.0,0.145795534431898,0.0,0.3171596921596921
2825,0.0,0.1652557038920675,0.0,0.2949385631203813
2826,0.0,0.1667390690117962,0.0303030303030303,0.3040895972714155
2827,0.0606060606060606,0.211523913796641,0.0,0.3009270191088372
2828,0.0606060606060606,0.2017788608697699,0.0,0.2812530062530062
2829,0.0,0.1475500930046384,0.0303030303030303,0.2966931216931217
2830,0.0,0.1480522003249275,0.0,0.282612925794744
2831,0.0,0.1676096630642085,0.0,0.2552549302549302
2832,0.0606060606060606,0.2347468188377279,0.0303030303030303,0.3368566618566618
2833,0.0,0.1578424101151374,0.0303030303030303,0.3324576938213301
2834,0.0303030303030303,0.1818560227651136,0.0303030303030303,0.3035495649132013
2835,0.0909090909090909,0.2149484354029808,0.0,0.2816028247846429
2836,0.0,0.1793070565797838,0.0303030303030303,0.3226310726310726
2837,0.0606060606060606,0.2031876372785463,0.0303030303030303,0.307094757094757
2838,0.0606060606060606,0.2176916517825609,0.0,0.2922077922077922
2839,0.0,0.1663831118376572,0.0,0.2914381914381914
