bootstrap_index,n_subjects_sampled,n_query_rows,v2_top1,v2_mrr,v2_percentile_rank,v2A_top1,v2A_mrr,v2A_percentile_rank,delta_top1_v2A_minus_v2,delta_mrr_v2A_minus_v2,delta_percentile_rank_v2A_minus_v2
86,17,33,0.696969696969697,0.822979797979798,0.9220997857361493,0.9090909090909091,0.9356060606060606,0.9579124579124579,0.21212121212121204,0.11262626262626252,0.03581267217630868
87,17,33,0.6666666666666666,0.797979797979798,0.8417508417508418,0.8181818181818182,0.8838383838383838,0.8720538720538721,0.1515151515151516,0.08585858585858575,0.030303030303030276
88,17,32,0.8125,0.8799479166666666,0.9370265151515151,0.90625,0.93359375,0.9565972222222222,0.09375,0.05364583333333339,0.019570707070707072
89,17,33,0.6666666666666666,0.7775252525252525,0.8086929905111724,0.7575757575757576,0.8345959595959596,0.8333333333333334,0.09090909090909094,0.05707070707070705,0.024640342822160988
90,17,34,0.6176470588235294,0.7519607843137255,0.8247177658942365,0.7941176470588235,0.8480392156862745,0.8627450980392156,0.17647058823529405,0.09607843137254901,0.03802733214497911
91,17,31,0.8064516129032258,0.8626344086021506,0.8763440860215054,0.8387096774193549,0.885752688172043,0.8906810035842294,0.032258064516129115,0.02311827956989243,0.014336917562724039
92,17,34,0.7352941176470589,0.8156862745098039,0.8431372549019608,0.8235294117647058,0.8627450980392157,0.8660130718954248,0.08823529411764697,0.04705882352941182,0.02287581699346397
93,17,33,0.7272727272727273,0.8255050505050505,0.8726660544842364,0.8484848484848485,0.8926767676767677,0.8973063973063973,0.12121212121212122,0.06717171717171722,0.024640342822160877
94,17,32,0.65625,0.7549479166666667,0.6996527777777778,0.6875,0.7721354166666667,0.7100694444444444,0.03125,0.017187500000000022,0.01041666666666663
95,17,34,0.7352941176470589,0.8259803921568627,0.8088235294117647,0.7941176470588235,0.8602941176470589,0.8202614379084967,0.05882352941176461,0.03431372549019618,0.011437908496731986
96,17,33,0.696969696969697,0.7823232323232323,0.7834404652586472,0.7575757575757576,0.8156565656565656,0.8013468013468013,0.06060606060606055,0.033333333333333326,0.017906336088154062
97,17,30,0.5333333333333333,0.6797222222222222,0.7631313131313131,0.7,0.773611111111111,0.8018518518518518,0.16666666666666663,0.0938888888888888,0.03872053872053871
98,17,34,0.8823529411764706,0.9240196078431373,0.9297385620915033,0.9117647058823529,0.9436274509803922,0.9379084967320261,0.02941176470588236,0.019607843137254943,0.008169934640522847
99,17,34,0.6764705882352942,0.8088235294117647,0.8529411764705882,0.8529411764705882,0.9019607843137255,0.8790849673202614,0.17647058823529405,0.09313725490196079,0.02614379084967322
100,17,31,0.7741935483870968,0.8435483870967742,0.8980123818833495,0.8709677419354839,0.8951612903225806,0.9175627240143369,0.09677419354838712,0.05161290322580647,0.019550342130987386
101,17,33,0.8484848484848485,0.9191919191919191,0.9747474747474747,0.9696969696969697,0.9848484848484849,0.9966329966329965,0.12121212121212122,0.06565656565656575,0.02188552188552184
102,17,33,0.8181818181818182,0.904040404040404,0.9742883379247017,0.9696969696969697,0.9848484848484849,0.9966329966329965,0.1515151515151515,0.08080808080808088,0.02234465870829483
103,17,34,0.6176470588235294,0.7245098039215686,0.8088235294117647,0.7352941176470589,0.7941176470588235,0.8464052287581699,0.11764705882352944,0.06960784313725488,0.037581699346405206
104,17,34,0.7352941176470589,0.8431372549019607,0.8649732620320856,0.8823529411764706,0.9166666666666666,0.8823529411764706,0.1470588235294117,0.07352941176470595,0.017379679144384985
105,17,33,0.6363636363636364,0.797979797979798,0.9395469850015304,0.8787878787878788,0.9393939393939394,0.9865319865319866,0.24242424242424243,0.14141414141414144,0.04698500153045615
106,17,34,0.6764705882352942,0.8039215686274509,0.8469994058229353,0.8235294117647058,0.8872549019607843,0.8758169934640523,0.1470588235294117,0.08333333333333337,0.02881758764111697
107,17,33,0.696969696969697,0.794949494949495,0.8350168350168351,0.8181818181818182,0.8585858585858587,0.8619528619528619,0.12121212121212122,0.06363636363636371,0.026936026936026813
108,17,33,0.696969696969697,0.8103535353535354,0.8676155494337312,0.8484848484848485,0.8926767676767677,0.8973063973063973,0.1515151515151515,0.08232323232323235,0.02969084787266607
109,17,31,0.7096774193548387,0.836021505376344,0.9014336917562723,0.9032258064516129,0.9381720430107526,0.931899641577061,0.19354838709677413,0.10215053763440862,0.03046594982078865
110,17,33,0.6060606060606061,0.7494949494949495,0.8290480563207836,0.8181818181818182,0.8585858585858586,0.8619528619528619,0.21212121212121215,0.10909090909090902,0.032904805632078316
111,17,31,0.8709677419354839,0.9220430107526881,0.9271749755620723,0.9354838709677419,0.9543010752688171,0.9354838709677419,0.06451612903225801,0.032258064516129004,0.008308895405669592
112,17,34,0.7647058823529411,0.8602941176470589,0.9101307189542485,0.8823529411764706,0.9289215686274509,0.934640522875817,0.11764705882352944,0.06862745098039202,0.02450980392156854
113,17,32,0.53125,0.7083333333333333,0.7193813131313131,0.71875,0.8072916666666666,0.7465277777777778,0.1875,0.09895833333333337,0.02714646464646464
114,17,33,0.6666666666666666,0.775,0.763238445056627,0.7575757575757576,0.821969696969697,0.7794612794612794,0.09090909090909094,0.046969696969696995,0.016222834404652442
115,17,31,0.7096774193548387,0.8225806451612903,0.8483219289670904,0.8387096774193549,0.8924731182795698,0.8673835125448028,0.12903225806451613,0.06989247311827951,0.019061583577712482
116,17,33,0.8181818181818182,0.8681818181818182,0.9069482705846341,0.8787878787878788,0.9015151515151515,0.9225589225589225,0.06060606060606055,0.033333333333333326,0.015610651974288348
117,17,33,0.8181818181818182,0.8760101010101009,0.8872053872053872,0.8787878787878788,0.9078282828282829,0.9006734006734006,0.06060606060606055,0.03181818181818197,0.013468013468013407
118,17,34,0.7352941176470589,0.8183823529411764,0.8251633986928105,0.7941176470588235,0.8541666666666666,0.8415032679738562,0.05882352941176461,0.03578431372549018,0.016339869281045694
119,17,33,0.6666666666666666,0.7823232323232323,0.8760330578512396,0.8181818181818182,0.8712121212121212,0.9158249158249158,0.1515151515151516,0.0888888888888889,0.039791857973676126
